PID,seed_id,zoo_id,zoo_type,test_id,test_type,response,prims
55,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[2, 1, 4, 5]"
75,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 7, 0, 4]"
64,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,1,"[8, 4, 7, 2]"
40,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[8, 7, 0, 4]"
60,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[8, 2, 5, 6]"
51,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[2, 1, 4, 5]"
47,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[8, 2, 5, 6]"
34,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,1,"[1, 5, 6, 2]"
89,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[2, 1, 4, 5]"
86,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[8, 4, 7, 2]"
67,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[8, 2, 5, 6]"
74,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[8, 2, 5, 6]"
66,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[2, 1, 4, 5]"
69,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,1,"[8, 4, 7, 2]"
38,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,1,"[8, 2, 5, 6]"
92,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[2, 1, 4, 5]"
59,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[1, 5, 6, 2]"
42,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[1, 5, 6, 2]"
96,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,1,"[8, 7, 0, 4]"
83,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[8, 7, 0, 4]"
76,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,1,"[8, 7, 0, 4]"
65,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",7,AB0+90,0,"[1, 5, 6, 2]"
