id,version,seed_id,zoo_id,n_example,canvasdata,actiondata,gen_code_18
2,1.0,0.0,4.0,3.0,"[{'id': 'prim0', 'transformstr': 't480,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,360r180,0,0s3,3,0,0'}]","[{'create': 'prim3'}, {'delete': 'prim3'}, {'create': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}]",AA3+0
2,1.0,0.0,8.0,3.0,"[{'id': 'prim0', 'transformstr': 't600,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't720,480r180,0,0s3,3,0,0'}, {'id': 'prim3', 'transformstr': 't660,420s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'create': 'prim3'}]",AA0D2+180
2,1.0,0.0,3.0,3.0,"[{'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,360s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}]",AB1+0
2,1.0,0.0,14.0,3.0,"[{'id': 'prim1', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't660,360r90,0,0s3,3,0,0'}]","[{'create': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'create': 'prim0'}, {'bind': ['prim1', 'prim0']}]",AB0+270
2,1.0,0.0,7.0,3.0,"[{'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't540,360s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't540,420s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'create': 'prim1'}]",AB0B2+0
2,1.0,0.0,0.0,3.0,"[{'id': 'prim0', 'transformstr': 't720,420r180,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}]",A+180
2,1.0,0.0,2.0,3.0,"[{'id': 'prim0', 'transformstr': 't720,420r180,0,0s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't720,360r180,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'delete': 'prim0'}, {'create': 'prim1'}, {'bind': ['prim0', 'prim1']}]",AB0+180
2,1.0,0.0,16.0,3.0,"[{'id': 'prim0', 'transformstr': 't600,360s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}]",AA5+0
2,1.0,0.0,13.0,3.0,"[{'id': 'prim2', 'transformstr': 't660,240r90,0,0s3,3,0,0'}]","[{'create': 'prim2'}, {'rotate': 'prim2'}]",C+270
2,1.0,0.0,6.0,3.0,"[{'id': 'prim0', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim3', 'transformstr': 't540,360s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim3'}]",AD4+0
2,1.0,0.0,10.0,3.0,"[{'id': 'prim0', 'transformstr': 't420,120r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}]",A+270
2,1.0,0.0,17.0,3.0,"[{'id': 'prim1', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,180s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim3'}, {'delete': 'prim3'}, {'create': 'prim1'}]",AB3+0
2,1.0,0.0,19.0,3.0,"[{'id': 'prim0', 'transformstr': 't480,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't720,420r180,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}]",AB5+0
2,1.0,0.0,12.0,3.0,"[{'id': 'prim0', 'transformstr': 't600,300r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}]",A+270
2,1.0,0.0,18.0,3.0,"[{'id': 'prim0', 'transformstr': 't540,180s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,240s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}]",AA5+0
3,1.0,3.0,3.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim3', 'transformstr': 't540,240s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim3'}, {'rotate': 'prim3'}, {'rotate': 'prim3'}, {'rotate': 'prim3'}, {'rotate': 'prim3'}, {'bind': ['prim0', 'prim3']}]",AD7+0
3,1.0,3.0,17.0,6.0,"[{'id': 'prim0', 'transformstr': 't480,360s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't540,300r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}, {'bind': ['prim0', 'prim2']}]",AC3+0
3,1.0,3.0,4.0,6.0,"[{'id': 'prim1', 'transformstr': 't600,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't660,240s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim1'}, {'bind': ['prim1', 'prim1']}]",BB15+0
